[2016-05-10T21:10:56+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: OldAgeOfMythNoElves; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-05-10T21:10:56+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: OldAgeOfMythNoElves; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-05-10T22:50:54+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: OldAgeOfMythNoElves; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-05-10T22:50:54+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: OldAgeOfMythNoElves; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-05-10T23:06:49+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: OldAgeOfMythNoElves; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-05-10T23:06:49+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: OldAgeOfMythNoElves; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.42.06-r1-0-gcaa1b9f on Windows; cwd md5: b37b55b32b; save: OldAgeOfMythNoElves; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.42.06-r1-0-gcaa1b9f on Windows; cwd md5: b37b55b32b; save: OldAgeOfMythNoElves; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.42.06-r1-0-gcaa1b9f on Windows; cwd md5: b37b55b32b; save: OldAgeOfMythNoElves; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.42.06-r1-0-gcaa1b9f on Windows; cwd md5: b37b55b32b; save: OldAgeOfMythNoElves; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
